x="683731.5"	y="272884.0"
x="684063.5"	y="272536.5"
x="684754.625"	y="271734.8125"
x="684928.625"	y="271448.5"
x="684543.875"	y="270670.8125"
x="684557.8125"	y="269733.9063"
x="684114.8125"	y="269628.1875"
x="685159.125"	y="270847.9063"
x="685630.125"	y="270456.0"
x="687560.6875"	y="269934.4063"
x="688006.3125"	y="270058.3125"
x="689400.625"	y="269917.4063"
x="690890.0"	y="269840.1875"
x="691082.3125"	y="269788.6875"
x="692380.875"	y="269942.1875"
x="693149.125"	y="269522.4063"
x="693661.875"	y="268919.8125"
x="676717.1875"	y="283561.5938"
x="676398.1875"	y="284769.5938"
x="677442.5"	y="285962.0938"
x="678627.1875"	y="289350.3125"
x="678633.125"	y="289350.6875"
x="680065.8125"	y="290923.0"
x="682204.4375"	y="291191.9688"
x="682601.6875"	y="292912.8438"
x="676425.5"	y="283405.0"
x="676982.125"	y="283517.1875"
x="677914.125"	y="284226.4063"
x="684000.125"	y="282083.9063"
x="679295.125"	y="279683.9063"
x="676487.3125"	y="282909.4063"
x="677084.8125"	y="283174.0"
x="679447.125"	y="282806.0"
x="678431.6875"	y="283803.9063"
x="679502.0"	y="284008.3125"
x="679840.875"	y="284321.4063"
x="721502.1875"	y="212008.7031"
x="722526.0"	y="212263.0938"
x="722953.875"	y="211921.2969"
x="724993.875"	y="221476.5"
x="724783.375"	y="221002.0938"
x="724635.0"	y="220140.5"
x="723858.5"	y="218037.9063"
x="724403.6875"	y="220036.4063"
x="724273.625"	y="217199.0938"
x="723272.125"	y="214220.7969"
x="724537.0"	y="210494.0938"
x="724728.6875"	y="210592.7969"
x="723831.375"	y="207290.0938"
x="723564.375"	y="207379.4063"
x="686053.0"	y="265126.0"
x="685222.3125"	y="266613.0"
x="684832.125"	y="267149.9063"
x="687042.3125"	y="269393.3125"
x="687220.6875"	y="269428.9063"
x="688790.625"	y="267386.3125"
x="687747.8125"	y="268022.5"
x="688970.375"	y="268385.3125"
x="691023.625"	y="270037.0938"
x="692161.125"	y="267729.3125"
x="692668.625"	y="267517.5"
x="693574.0"	y="266814.5"
x="691823.625"	y="264093.8125"
x="691687.625"	y="264263.0938"
x="692418.625"	y="265230.0"
x="693479.375"	y="266389.0938"
x="693503.375"	y="266511.0"
x="693589.375"	y="268398.4063"
x="691231.8125"	y="264403.9063"
x="689628.375"	y="266713.1875"
x="689040.1875"	y="266943.9063"
x="692539.5"	y="264917.0"
x="699787.0"	y="265628.9063"
x="699738.1875"	y="265659.0938"
x="693958.625"	y="265832.0938"
x="694596.125"	y="263666.0"
x="695555.0"	y="266957.8125"
x="695915.3125"	y="269247.0938"
x="696222.125"	y="270595.3125"
x="697746.0"	y="271346.0"
x="689230.3125"	y="264535.0938"
x="690256.625"	y="264016.0938"
x="688197.3125"	y="270465.5"
x="687311.5"	y="273192.5"
x="687755.0"	y="273808.5"
x="690865.8125"	y="275727.5"
x="692066.5"	y="271991.0938"
x="690924.125"	y="272799.4063"
x="690916.875"	y="273046.3125"
x="691052.875"	y="275699.1875"
x="691062.5"	y="275752.1875"
x="692559.5"	y="274010.0938"
x="691596.125"	y="275196.9063"
x="688116.125"	y="276757.4063"
x="687377.1875"	y="276960.9063"
x="687256.625"	y="277036.8125"
x="693089.5"	y="272362.4063"
x="684037.625"	y="267388.9063"
x="692673.8125"	y="270255.5"
x="692473.125"	y="271489.1875"
x="693304.875"	y="272245.4063"
x="689354.5"	y="277257.0938"
x="690633.875"	y="277018.5"
x="691076.5"	y="275985.3125"
x="689953.0"	y="277909.0"
x="690546.125"	y="278577.9063"
x="688971.6875"	y="279800.9063"
x="689108.8125"	y="280136.5938"
x="691049.125"	y="277982.9063"
x="693087.875"	y="277184.0"
x="691958.6875"	y="276797.8125"
x="691704.3125"	y="276591.0"
x="685155.5"	y="287685.6875"
x="690270.1875"	y="286401.1875"
x="689009.3125"	y="287148.0"
x="687902.625"	y="290089.6875"
x="687756.875"	y="290560.1875"
x="687684.6875"	y="290770.1875"
x="688120.3125"	y="291889.0"
x="684977.75"	y="253280.4688"
x="688407.375"	y="292837.8438"
x="687782.625"	y="294176.6875"
x="687741.3125"	y="294079.6875"
